bb,sport_id,np,hgnd,roe,hr,team_count,sb,player_id,avg,sf,sac,wo,hpop,so,gidp_opp,gidp,ppa,ab,hldr,d,tpa,g,h,ibb,go,sport_code,tb,ao,slg,cs,r,ops,t,hbp,rbi,babip,go_ao,hfly,obp,sport,lob,xbh
227,1,8105,133,16,112,1,90,660670,.280,12,0,3,0,505,154,16,4.15,1676,210,86,1952,436,470,11,333,mlb,906,384,.541,24,349,.916,7,34,264,.334,0.87,127,.375,MLB,538,205
1,1,146,0,0,0,1,0,666120,.054,0,3,0,0,29,3,0,3.56,37,2,1,41,22,2,0,9,mlb,3,0,.081,0,0,.160,0,0,0,.250,9.00,0,.079,MLB,28,1
138,1,7600,206,21,47,2,40,606115,.246,14,5,5,1,414,285,55,3.73,1879,202,77,2040,598,462,15,606,mlb,694,441,.369,16,198,.666,7,4,206,.290,1.37,53,.297,MLB,801,131
0,1,98,0,0,0,8,0,445926,.091,0,4,0,0,20,3,0,3.77,22,2,0,26,219,2,0,4,mlb,2,0,.091,0,0,.182,0,0,0,1.000,4.00,0,.091,MLB,14,0
32,1,1240,17,1,17,1,2,661388,.248,1,0,1,0,91,33,4,3.96,278,29,13,313,87,69,1,74,mlb,135,45,.486,0,38,.815,1,2,42,.304,1.64,23,.329,MLB,126,31
180,1,9243,161,15,89,4,2,518595,.250,16,3,2,2,475,340,68,3.75,2242,297,113,2464,650,560,9,658,mlb,950,612,.424,1,270,.734,5,23,323,.278,1.08,100,.310,MLB,1029,207
0,1,24,0,0,0,1,0,656353,.000,0,0,0,0,6,0,0,4.00,6,0,0,6,4,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,5,0
23,1,1308,21,0,6,2,3,641513,.216,2,1,0,0,109,34,5,4.15,287,34,10,315,92,62,0,57,mlb,94,62,.328,0,38,.605,2,2,20,.322,0.92,7,.277,MLB,113,18
204,1,11413,138,24,159,4,18,594807,.230,27,0,4,3,848,449,37,3.82,2718,289,131,2985,812,624,7,490,mlb,1258,810,.463,10,375,.752,13,35,469,.268,0.60,194,.289,MLB,1326,303
43,1,1488,14,4,17,3,0,645801,.197,1,0,1,1,79,39,5,4.12,310,28,12,361,118,61,3,85,mlb,124,86,.400,0,42,.707,0,7,46,.205,0.99,18,.307,MLB,133,29
