sport_id,bqs,league_short,hr,team_id,whip,pip,season,rs9,ab,qs,hldr,league,ip,ir,sport_code,er,ao,k9,slg,team_full,ops,team_abbrev,tbf,go_ao,sho,hfly,spct,wpct,end_date,bb,np,hgnd,bk,sb,bq,h9,player_id,avg,sf,sac,era,team_short,wp,hpop,so,gidp_opp,pgs,gidp,gf,ppa,hld,sv,cg,league_full,g,h,ibb,go,kbb,irs,l,gs,team_seq,svo,hr9,cs,r,s,w,babip,bb9,hb,pk,obp,sport,league_id,db,tr
1,0,National,1,109,2.36,19.3,2022,5.79,23,0,6,NL,4.2,5,mlb,5,9,5.79,.609,Arizona Diamondbacks,1.070,ARI,26,0.22,0,2,67.8,.---,2022-06-23T00:00:00,2,90,1,0,0,1,17.36,642203,.391,0,0,9.64,Arizona,0,0,3,4,*.*,0,1,3.46,1,0,0,National League,4,9,0,2,1.50,3,0,0,1.0,0,1.93,0,5,61,0,.421,3.86,1,0,.462,MLB,104,2,0
1,5,National,8,144,1.39,17.1,2022,7.81,266,4,34,NL,70.1,0,mlb,34,61,7.55,.402,Atlanta Braves,.732,ATL,300,1.33,0,13,61.4,.667,2022-06-23T00:00:00,32,1202,19,0,3,11,8.45,666120,.248,1,0,4.35,Atlanta,2,0,59,41,92.5,8,0,4.01,0,0,0,National League,13,66,0,81,1.84,0,3,13,1.0,0,1.02,3,35,738,6,.290,4.09,1,0,.330,MLB,104,17,0
1,0,National,1,112,1.59,15.0,2022,11.12,22,0,4,NL,5.2,4,mlb,4,8,4.76,.545,Chicago Cubs,.920,CHC,24,0.50,0,2,60.0,.---,2022-04-21T00:00:00,2,85,1,0,0,0,11.12,445926,.318,0,0,6.35,Chi Cubs,0,0,3,5,*.*,1,0,3.54,0,0,0,National League,3,7,0,4,1.50,1,0,0,1.0,1,1.59,0,4,51,0,.333,3.18,0,0,.375,MLB,104,2,0
1,0,National,1,144,1.37,16.6,2022,8.74,90,0,15,NL,22.2,15,mlb,6,19,10.32,.389,Atlanta Braves,.722,ATL,96,1.00,0,6,69.7,.500,2022-06-23T00:00:00,4,376,6,0,2,6,10.72,445926,.300,1,0,2.38,Atlanta,1,0,26,10,376.0,2,5,3.92,1,0,0,National League,19,27,0,19,6.50,6,1,1,2.0,0,0.40,1,7,262,1,.406,1.59,1,0,.333,MLB,104,3,1
1,0,National,0,144,1.00,18.0,2022,1.50,22,0,3,NL,6.0,0,mlb,1,6,7.50,.227,Atlanta Braves,.507,ATL,25,1.17,0,0,62.0,.---,2022-06-23T00:00:00,2,108,1,0,0,0,6.00,672911,.182,0,0,1.50,Atlanta,0,0,5,4,*.*,1,4,4.32,0,0,0,National League,6,4,0,7,2.50,0,0,0,1.0,0,0.00,0,1,67,0,.235,3.00,1,0,.280,MLB,104,1,0
1,1,National,0,144,1.83,18.3,2022,1.17,59,0,7,NL,15.1,2,mlb,11,19,5.87,.322,Atlanta Braves,.714,ATL,74,0.84,0,0,58.9,.333,2022-06-23T00:00:00,13,280,8,0,2,1,8.80,656353,.254,1,0,6.46,Atlanta,0,0,10,17,93.3,1,1,3.78,0,0,0,National League,4,15,0,16,0.77,1,2,3,1.0,0,0.00,0,11,165,1,.300,7.63,1,0,.392,MLB,104,2,1
1,0,National,3,144,1.68,17.8,2022,5.68,71,0,7,NL,19.0,0,mlb,10,16,5.68,.437,Atlanta Braves,.820,ATL,87,1.63,0,5,57.8,.250,2022-06-23T00:00:00,14,339,6,0,2,4,8.53,693821,.254,0,1,4.74,Atlanta,0,0,12,14,84.8,2,0,3.90,0,0,0,National League,4,18,0,26,0.86,0,3,4,1.0,0,1.42,1,10,196,1,.268,6.63,1,0,.384,MLB,104,4,0
1,4,National,6,144,1.05,15.1,2022,4.62,329,10,35,NL,87.2,0,mlb,27,72,8.52,.322,Atlanta Braves,.591,ATL,350,1.40,0,13,66.1,.778,2022-06-23T00:00:00,15,1325,29,0,0,9,7.90,608331,.234,4,0,2.77,Atlanta,6,0,83,47,94.6,6,0,3.79,0,0,0,National League,14,77,2,101,5.53,0,2,14,1.0,0,0.62,2,28,876,7,.291,1.54,2,2,.269,MLB,104,11,0
1,0,National,2,144,0.91,15.4,2022,3.34,107,0,10,NL,29.2,3,mlb,10,31,12.44,.280,Atlanta Braves,.513,ATL,116,0.55,0,4,70.0,1.000,2022-06-23T00:00:00,8,457,5,0,2,0,5.76,445276,.178,1,0,3.03,Atlanta,0,0,41,13,*.*,0,25,3.94,0,18,0,National League,29,19,1,17,5.13,3,0,0,1.0,21,0.61,1,11,320,4,.262,2.43,0,0,.233,MLB,104,3,1
1,0,National,1,144,0.83,13.6,2022,4.73,49,0,4,NL,13.1,9,mlb,1,18,7.43,.265,Atlanta Braves,.481,ATL,51,0.61,0,1,68.5,1.000,2022-06-23T00:00:00,2,181,4,0,0,1,6.08,669276,.184,0,0,0.68,Atlanta,0,0,11,8,*.*,0,3,3.55,2,0,0,National League,9,9,0,11,5.50,4,0,0,1.0,0,0.68,0,2,124,1,.216,1.35,0,0,.216,MLB,104,1,0
