sport_id,league_short,hr,team_id,season,ab,hldr,league,sport_code,ao,slg,team_full,ops,team_abbrev,hbp,rbi,go_ao,hfly,lob,xbh,end_date,bb,np,hgnd,roe,sb,player_id,avg,sf,sac,wo,team_short,hpop,so,gidp_opp,gidp,ppa,d,tpa,league_full,g,h,ibb,go,team_seq,tb,cs,r,t,babip,obp,sport,league_id
1,National,3,144,2022,87,14,NL,mlb,16,.552,Atlanta Braves,.914,ATL,1,13,1.31,4,27,11,2022-06-23T00:00:00,3,321,11,0,2,671739,.333,0,0,0,Atlanta,0,21,7,0,3.53,6,91,National League,24,29,0,21,1.0,48,0,15,2,.413,.363,MLB,104
1,National,3,144,2022,51,2,NL,mlb,9,.392,Atlanta Braves,.606,ATL,0,6,1.11,4,20,6,2022-06-23T00:00:00,5,229,1,0,0,628338,.137,0,0,0,Atlanta,0,25,4,1,4.09,2,56,National League,34,7,0,10,1.0,20,0,8,1,.174,.214,MLB,104
1,National,10,144,2022,267,35,NL,mlb,63,.468,Atlanta Braves,.820,ATL,1,38,1.13,17,122,38,2022-06-23T00:00:00,41,1292,15,1,0,621566,.251,1,0,0,Atlanta,0,67,39,7,4.17,28,310,National League,70,67,3,71,1.0,125,0,29,0,.298,.352,MLB,104
1,National,13,144,2022,260,27,NL,mlb,72,.415,Atlanta Braves,.694,ATL,1,28,0.93,16,113,22,2022-06-23T00:00:00,17,1060,16,2,2,542303,.231,2,0,0,Atlanta,1,63,41,9,3.79,9,280,National League,66,60,0,67,1.0,108,1,34,0,.253,.279,MLB,104
1,National,0,144,2022,14,0,NL,mlb,6,.143,Atlanta Braves,.378,ATL,1,2,1.00,0,7,0,2022-06-23T00:00:00,1,65,2,0,0,444489,.143,1,0,0,Atlanta,0,1,2,0,3.82,0,17,National League,5,2,0,6,1.0,2,0,1,0,.143,.235,MLB,104
1,National,18,144,2022,271,27,NL,mlb,61,.513,Atlanta Braves,.836,ATL,7,41,0.95,22,134,33,2022-06-23T00:00:00,21,1092,20,3,2,663586,.255,1,0,0,Atlanta,0,84,43,3,3.64,14,300,National League,69,69,1,58,1.0,139,0,39,1,.300,.323,MLB,104
1,National,0,138,2022,1,0,NL,mlb,0,.000,St. Louis Cardinals,.000,STL,0,1,*.**,0,0,0,2022-06-05T00:00:00,0,4,0,0,0,670298,.000,0,0,0,St. Louis,0,0,0,0,4.00,0,1,National League,2,0,0,1,1.0,0,0,0,0,.000,.000,MLB,104
1,National,0,144,2022,44,2,NL,mlb,14,.091,Atlanta Braves,.254,ATL,0,0,1.21,0,18,1,2022-06-23T00:00:00,5,195,1,0,0,592696,.068,0,0,0,Atlanta,0,10,3,0,3.98,1,49,National League,15,3,0,17,1.0,4,0,4,0,.088,.163,MLB,104
1,National,10,144,2022,258,31,NL,mlb,64,.473,Atlanta Braves,.833,ATL,2,38,0.66,20,81,25,2022-06-23T00:00:00,25,1161,24,1,11,621020,.295,1,0,0,Atlanta,1,77,32,4,4.06,14,286,National League,70,76,0,42,1.0,122,2,44,1,.384,.360,MLB,104
1,American,0,111,2022,10,0,AL,mlb,4,.000,Boston Red Sox,.000,BOS,0,1,1.25,0,4,0,2022-06-15T00:00:00,0,41,0,0,0,660620,.000,1,1,0,Boston,0,3,3,0,3.42,0,12,American League,6,0,0,5,1.0,0,0,1,0,.000,.000,MLB,103
1,American,0,110,2022,14,0,AL,mlb,4,.143,Baltimore Orioles,.343,BAL,1,0,0.75,0,9,0,2022-06-23T00:00:00,0,57,2,1,0,676625,.143,0,0,0,Baltimore,0,5,3,0,3.80,0,15,American League,4,2,0,3,1.0,2,0,0,0,.222,.200,MLB,103
1,American,2,110,2022,118,7,AL,mlb,31,.280,Baltimore Orioles,.539,BAL,2,15,0.90,7,46,10,2022-06-23T00:00:00,14,540,5,4,1,455139,.161,1,0,1,Baltimore,0,41,12,1,4.00,8,135,American League,40,19,0,28,1.0,33,0,6,0,.224,.259,MLB,103
1,American,10,110,2022,247,27,AL,mlb,71,.482,Baltimore Orioles,.829,BAL,4,40,0.80,15,113,27,2022-06-23T00:00:00,19,925,28,5,1,669720,.287,1,0,0,Baltimore,1,49,36,5,3.41,16,271,American League,65,71,0,57,1.0,119,3,37,1,.323,.347,MLB,103
1,American,0,110,2022,0,0,AL,mlb,0,.---,Baltimore Orioles,.000,BAL,0,0,-.--,0,0,0,2022-06-23T00:00:00,0,0,0,0,0,605347,.---,0,0,0,Baltimore,0,0,0,0,-.--,0,0,American League,2,0,0,0,1.0,0,0,0,0,.---,.---,MLB,103
1,American,7,110,2022,234,32,AL,mlb,72,.427,Baltimore Orioles,.792,BAL,6,27,0.64,13,93,18,2022-06-23T00:00:00,24,1075,21,4,0,641820,.286,2,0,0,Baltimore,1,51,32,2,4.04,10,266,American League,62,67,1,46,1.0,100,0,27,1,.337,.365,MLB,103
1,American,0,110,2022,17,1,AL,mlb,5,.471,Baltimore Orioles,.786,BAL,0,2,0.60,1,3,2,2022-06-23T00:00:00,2,76,2,0,0,621006,.235,0,0,0,Baltimore,0,5,2,0,4.00,0,19,American League,7,4,0,3,1.0,8,0,4,2,.333,.316,MLB,103
1,American,4,110,2022,213,21,AL,mlb,55,.315,Baltimore Orioles,.551,BAL,2,16,0.80,10,106,15,2022-06-23T00:00:00,9,856,11,2,17,622761,.197,0,2,0,Baltimore,0,74,23,3,3.77,9,227,American League,63,42,0,44,1.0,67,3,19,2,.281,.237,MLB,103
1,American,0,110,2022,68,6,AL,mlb,9,.324,Baltimore Orioles,.630,BAL,2,4,1.78,2,28,5,2022-06-23T00:00:00,4,269,9,1,1,663630,.250,1,0,0,Baltimore,0,27,6,1,3.59,5,75,American League,46,17,1,16,1.0,22,0,10,0,.405,.307,MLB,103
1,American,12,110,2022,231,34,AL,mlb,58,.481,Baltimore Orioles,.789,BAL,1,37,0.86,14,97,24,2022-06-23T00:00:00,12,956,15,0,2,663624,.273,2,0,0,Baltimore,0,62,36,9,3.89,12,246,American League,58,63,1,50,1.0,111,0,30,0,.321,.309,MLB,103
1,American,6,110,2022,273,28,AL,mlb,90,.377,Baltimore Orioles,.680,BAL,5,26,0.70,16,94,23,2022-06-23T00:00:00,18,1090,22,4,15,656775,.245,1,1,0,Baltimore,1,55,30,3,3.65,16,299,American League,68,67,1,63,1.0,103,3,35,1,.286,.303,MLB,103
