sport_id,bqs,hr,whip,pip,rs9,ab,qs,hldr,ip,ir,sport_code,er,ao,k9,slg,ops,tbf,go_ao,sho,hfly,spct,wpct,bb,np,hgnd,bk,team_count,sb,bq,h9,player_id,avg,sf,sac,era,wp,hpop,so,gidp_opp,pgs,gidp,gf,ppa,hld,sv,cg,g,h,ibb,go,kbb,irs,l,gs,svo,hr9,cs,r,s,w,babip,bb9,hb,pk,obp,sport,db,tr
1,0,3,1.68,17.8,5.68,71,0,7,19.0,0,mlb,10,16,5.68,1.225,1.609,87,1.63,0,5,57.8,.250,14,339,6,0,1,2,4,8.53,693821,.254,0,1,4.74,0,0,12,,84.8,2,0,3.90,0,0,0,4,18,0,26,0.86,0,3,4,0,1.42,1,10,196,1,.268,6.63,1,0,.384,MLB,4,0
1,0,2,3.00,21.0,4.50,12,0,2,2.0,0,mlb,5,4,4.50,1.000,1.500,12,0.25,0,2,66.7,.---,0,42,2,0,1,0,0,27.00,645801,.500,0,0,22.50,0,0,1,3,*.*,0,1,3.50,0,0,0,1,6,0,1,*.**,0,0,0,0,9.00,0,5,28,0,.444,0.00,0,0,.500,MLB,1,0
1,18,50,1.20,15.8,6.43,2005,48,214,534.2,3,mlb,193,383,8.92,1.100,1.404,2206,1.63,2,84,64.5,.701,154,8445,187,2,1,18,38,8.21,608331,.243,13,9,3.25,27,3,530,137,91.8,46,10,3.83,1,0,3,109,488,6,626,3.44,2,20,92,0,0.84,11,210,5450,47,.305,2.59,24,22,.303,MLB,96,5
1,10,65,0.93,16.1,2.00,2636,0,231,734.2,164,mlb,196,695,13.02,1.099,1.343,2896,0.62,0,100,68.7,.612,212,11816,135,10,2,88,40,5.75,445276,.178,14,6,2.40,17,3,1063,211,*.*,21,544,4.08,39,368,0,730,469,13,430,5.01,39,26,0,416,0.80,6,211,8121,41,.265,2.60,26,1,.245,MLB,82,10
1,0,2,0.91,13.7,4.70,58,0,6,15.1,9,mlb,3,19,8.22,1.034,1.268,60,0.68,0,2,70.0,1.000,2,210,4,0,1,0,1,7.04,669276,.207,0,0,1.76,0,0,14,,*.*,1,3,3.50,2,0,0,11,12,0,13,7.00,4,0,0,0,1.17,0,4,147,1,.238,1.17,0,0,.233,MLB,1,1
1,14,16,1.36,16.1,3.97,892,12,104,242.1,46,mlb,96,223,8.76,1.163,1.494,1037,1.06,1,20,62.0,.375,119,3913,83,0,2,14,47,7.80,554431,.235,5,9,3.57,14,3,236,96,163.0,24,17,3.77,31,0,1,128,210,6,237,1.98,7,20,24,3,0.59,5,99,2427,12,.301,4.42,12,2,.332,MLB,47,7
1,26,99,1.23,16.5,4.83,3393,62,414,891.0,46,mlb,373,903,8.85,1.097,1.403,3723,0.90,0,150,64.8,.587,250,14725,273,1,5,38,89,8.53,543521,.249,22,18,3.77,27,7,876,426,116.9,59,41,3.96,28,1,1,270,844,8,810,3.50,15,45,126,7,1.00,17,396,9543,64,.305,2.53,37,3,.306,MLB,169,23
1,19,10,1.26,17.2,5.28,784,0,91,209.2,77,mlb,79,196,10.73,1.129,1.437,885,0.85,0,31,65.0,.467,81,3613,61,2,1,18,53,7.90,621345,.235,9,4,3.39,12,1,250,79,*.*,10,58,4.08,65,20,0,232,184,8,167,3.09,19,16,0,31,0.43,6,88,2349,14,.326,3.48,6,3,.308,MLB,46,4
1,48,149,1.30,16.2,4.80,6423,144,745,1699.1,0,mlb,762,1284,8.36,1.133,1.460,7278,1.62,2,256,63.5,.531,602,27554,601,5,5,109,155,8.51,450203,.250,46,57,4.04,60,5,1578,893,90.3,167,0,3.79,0,0,3,306,1607,22,2077,2.62,0,98,305,0,0.79,35,846,17509,111,.307,3.19,148,13,.326,MLB,312,43
1,5,2,1.42,19.1,3.66,141,0,15,39.1,0,mlb,24,43,9.15,1.234,1.573,174,0.77,0,3,60.5,.286,26,751,11,0,1,4,6,6.86,666205,.213,2,3,5.49,10,1,40,,83.4,3,0,4.32,0,0,0,10,30,1,33,1.54,0,5,9,0,0.46,0,24,454,2,.277,5.95,2,0,.339,MLB,6,0
